id,product_text,retailer,category
6042,FOROE 0F 100,Kroger,not an item
6043,OLF CHILI,Kroger,canned goods & soups
6044,HORIZON WHITE SHEL,Publix,dairy
6045,PPSSTSOUP,Kroger,canned goods & soups
6046,DITCOKE,Kroger,beverages
6047,LIMIIT ONE 50 FUEL PTTBONUS PER,Kroger,not an item
6048,BOCA CHKN PATTY,Kroger,frozen foods
6049,CESAR GRMT PRM RIB,Publix,pets
6050,N YOGRT,Kroger,dairy
6051,BBNNY RND TOP BRE,Kroger,bakery
6052,KKRO SPKLG LEMONADEPC,Kroger,beverages
6053,DRIS RAS ORG PPC,Kroger,produce
6054,SPWD GARLIC BULB,Kroger,produce
6055,ALONIA OLV OIL,Kroger,baking
6056,COASTSOAP,Kroger,beauty & grooming
6057,KRO GREEN BEEAN,Kroger,canned goods & soups
6058,KKROGER 2 MILK PPC,Kroger,dairy
6059,REDGLD TOMATOES PPC,Kroger,produce
6060,SUAVE KIDS SHAMPOOPC,Kroger,beauty & grooming
6061,0B FLOSS PICKS,Publix,health & wellness
6062,KRO ARTICHKE HEART,Publix,canned goods & soups
6063,B0 SUMMER FUL,Kroger,not an item
6064,PR SUAVE KIDS SHAMPOO,Kroger,beauty & grooming
6065,BBRK CC LF SM CURD,Publix,dairy
6066,RONZ PASTA PPC,Publix,grains & pasta
6067,DANNON TRI 0 BANA,Publix,dairy
6068,PRSTA REFRIED BEANS,Kroger,canned goods & soups
6069,SUNNY D,Kroger,beverages
6070,CHRMN WIPES,Kroger,household essentials
6071,SEE STORE AND,Kroger,not an item
6072,HTGF CHK FYR PPC,Kroger,"meat, seafood, & poultry"
6073,PUBLIX CINN APSC,Publix,canned goods & soups
6074,FUEL POITS THIS ORDER,Kroger,not an item
6075,LAC VITMN WATER PPC,Kroger,beverages
6076,DELUXE SEAFD SALAD,Kroger,deli
6077,STO SPRKLNG SODA,Kroger,beverages
6078,TIIDELNDRY,Kroger,household essentials
6079,ARMR LUNCHM,Kroger,"snacks, cookies, & chips"
6080,BBISTRO SPINACHHSLD,Publix,produce
6081,PROMOTION 0,Publix,not an item
6082,KKRO FLOUNDER,Kroger,"meat, seafood, & poultry"
6083,PUBGRATD PARMESAN,Kroger,dairy
6084,JIMMY DEAN SKILLETPC,Kroger,frozen foods
6085,ROGER SAOINGS,Kroger,not an item
6086,EETBABY RAY,Kroger,"condiments, sauces & seasonings"
6087,DOVE CHOC CRNBRY,Kroger,candy & gum
6088,VENUS DISP RAZOR,Publix,beauty & grooming
6089,JVL NEW ORLEANS BR,Publix,"meat, seafood, & poultry"
6090,T SPREAD,Kroger,"snacks, cookies, & chips"
6091,MAWTMUFFINMIX,Kroger,baking
6092,TEMAID,Publix,beverages
6093,TN PRD FRZ,Kroger,frozen foods
6094,LLIMIT ONE 50 FUEE PT BONUS PER,Kroger,not an item
6095,PAC ORG CRM CHICK,Publix,canned goods & soups
6096,CELERY DICED,Publix,produce
6097,A EVENT SAINGS,Kroger,not an item
6098,BANDERITA SOFTTAC,Publix,bakery
6099,FGOR JALAPEN,Kroger,produce
6100,DM SLCARROT,Publix,canned goods & soups
6101,LOL BTR CANOLA LT,Kroger,dairy
6102,ROGER WAFERS,Kroger,"snacks, cookies, & chips"
6103,LIMIT ONE 50 FUE PT BONUS PER,Publix,not an item
6104,RITZ GRLC BUTR CRK,Publix,"snacks, cookies, & chips"
6105,PLOYEE DISCOUNT,Kroger,not an item
6106,ND CRMR,Kroger,dairy
6107,GREEN SDLSS GRAPE,Safeway,produce
6108,BOBR ROLLED OATS,Kroger,breakfast & cereal
6109,YORK PPRMNT PATT,Kroger,candy & gum
6110,KELL POPTART PPC,Kroger,breakfast & cereal
6111,DRUMSTTICK CONES,Kroger,frozen foods
6112,K FRANKS,Kroger,"meat, seafood, & poultry"
6113,147 LB,Kroger,dairy
6114,N GRD BEEF,Kroger,"meat, seafood, & poultry"
6115,KROE AVINGS,Kroger,not an item
6116,SHELBY TX CHILI MX,Publix,canned goods & soups
6117,BBTYC SNK SZ CC CKYPC,Kroger,frozen foods
6118,ST COCONUT MILK,Kroger,dairy
6119,PUBLIX GRK BLUEBRY,Kroger,dairy
6120,BAD SPAGHH,Kroger,canned goods & soups
6121,ORG ZUCCHINI WRAP,Publix,produce
6122,NTER,Kroger,not an item
6123,TSSUE,Kroger,household essentials
6124,PGR DOG F00D,Kroger,pets
6125,SAOINGS,Kroger,not an item
6126,SC SENIOR REWARDS 54,Kroger,not an item
6127,GIIFT CARD,Kroger,not an item
6128,KRO FZ CHKN WINGS,Kroger,frozen foods
6129,EN SAVINGS,Kroger,not an item
6130,PRO CKN W0RZ0 LEM,Publix,canned goods & soups
6131,R SVNGS,Publix,not an item
6132,SST BEAN,Kroger,canned goods & soups
6133,RONZONI TRIO ITALN,Publix,grains & pasta
6134,DISCOUNT NOT AVAIILABLLE IN,Kroger,"snacks, cookies, & chips"
6135,PUBLIX WHL BAY LVS,Publix,"condiments, sauces & seasonings"
6136,KROERBEANS,Kroger,canned goods & soups
6137,10A EMPLOYEE DISC,Kroger,not an item
6138,Q TIPS,Kroger,beauty & grooming
6139,KRO BOUILLON PPC,Kroger,canned goods & soups
6140,KKRO JALAPENOS,Kroger,"condiments, sauces & seasonings"
6141,PX AUJUS GRAVY MX,Publix,"condiments, sauces & seasonings"
6142,KRO VAN SAMMIES PPC,Kroger,frozen foods
6143,DISCOUNS,Kroger,not an item
6144,CHICKN CHUNK,Kroger,canned goods & soups
6145,NAVELS PPC,Kroger,produce
6146,KROBISCUITS,Kroger,bakery
6147,DOLE CHPTL CHED,Kroger,dairy
6148,PCKT THNS,Kroger,bakery
6149,BH GENOA SALAMI NC,Kroger,deli
6150,FUEL POINNTS THIS,Kroger,not an item
6151,SLIM JIM HANDI PAK,Publix,"snacks, cookies, & chips"
6152,SMFD YNGLNG BRAT,Kroger,"meat, seafood, & poultry"
6153,PFRM GLDFSH CRKR,Kroger,"snacks, cookies, & chips"
6154,KKRGER SWINGS,Kroger,not an item
6155,BAUANCE,Kroger,not an item
6156,MR BUBBLE,Kroger,beauty & grooming
6157,LLIIT ONE 50 FUELPT BONUS PER,Kroger,not an item
6158,DDATE 0F BHANGE,Kroger,beverages
6159,YCRESCENTS,Kroger,bakery
6160,SPAM BACON,Kroger,canned goods & soups
6161,JSOU CHICKEN,Kroger,frozen foods
6162,STATE FAIR CORNDGPC,Kroger,frozen foods
6163,KOER SAVINGS,Kroger,not an item
6164,REDEEEM 100PTS T0,Publix,not an item
6165,NACK PACK,Kroger,"snacks, cookies, & chips"
6166,RCHRAMEN,Kroger,canned goods & soups
6167,COLES FZ GARLCEBRDPC,Kroger,frozen foods
6168,HASTERCARD,Kroger,not an item
6169,OSCM BOLOGNA PPC,Publix,deli
6170,UPPR ROLLS,Kroger,bakery
6171,KRO QK OATS PPC,Kroger,breakfast & cereal
6172,REF 000000 TOTA,Kroger,not an item
6173,TSTKAK CHOC PIE,Kroger,"snacks, cookies, & chips"
6174,NESPAPER,Publix,household essentials
6175,NTS MANWICHH,Publix,canned goods & soups
6176,BBALL TRKY SSG LNK,Publix,"meat, seafood, & poultry"
6177,X NUTS,Kroger,produce
6178,JELLO VANILLAPUDG,Kroger,"snacks, cookies, & chips"
6179,CHINET DINNER NAPK,Publix,household essentials
6180,DANIMAL SMOOTHIE PPC,Kroger,dairy
6181,ENTENMANNS DONUTS,Publix,bakery
6182,CKD TURKEY MEATBAL,Publix,frozen foods
6183,CTTO SALAMI,Publix,deli
6184,1 2 FOR 355,Publix,not an item
6185,SWIFFER DUSTER,Kroger,household essentials
6186,ORK CHOPS PPC,Kroger,"meat, seafood, & poultry"
6187,MRS TSAVORY ONION,Publix,frozen foods
6188,ITAL VINAIGRETTE,Publix,"condiments, sauces & seasonings"
6189,BBH PEPPERONI POUCHH,Publix,deli
6190,STO POTPIE,Publix,frozen foods
6191,ANNUAL CARDS,Kroger,not an item
6192,OGRESSO SOUP PPC,Kroger,canned goods & soups
6193,STARKIST UNA PPC,Kroger,canned goods & soups
6194,BRHD SALAD,Kroger,deli
6195,PRFD WATER,Kroger,beverages
6196,BFRONI,Kroger,canned goods & soups
6197,STO BEEF STCK ORG,Kroger,canned goods & soups
6198,KRO CHESSE,Kroger,dairy
6199,BRAGG APCD VING,Publix,"condiments, sauces & seasonings"
6200,KROGE SAVINS,Kroger,not an item
6201,CARN INSTDBREAKFST,Publix,beverages
6202,THIIS MONTHS,Kroger,not an item
6203,1 2 FOR 159,Kroger,not an item
6204,Y FEAST CATFOODPC,Publix,pets
6205,KIND OATS  HONEY,Publix,breakfast & cereal
6206,R ANJOU,Kroger,produce
6207,LARA BAR C,Kroger,"snacks, cookies, & chips"
6208,L TURKEY,Kroger,deli
6209,TQTAL,Kroger,not an item
6210,HLLY CREAM,Kroger,dairy
6211,CRESTWHTN PASTE,Kroger,health & wellness
6212,BHROTIS SEASONED,Publix,deli
6213,JHNSNVL BRTS,Kroger,"meat, seafood, & poultry"
6214,MASTEERCARD,Kroger,not an item
6215,PUB ITALGRN BEANS,Publix,canned goods & soups
6216,T FZ MEAL,Kroger,frozen foods
6217,GELATIN,Kroger,"snacks, cookies, & chips"
6218,PPRSL BRIOCHE ROLL,Kroger,bakery
6219,STARKISTCCK LGHT,Publix,canned goods & soups
6220,SUNFLOWER BREAD,Publix,bakery
6221,3M AIR FILTER,Publix,household essentials
6222,FBRZ WAX MELTS,Kroger,household essentials
6223,CHEETOS PUFFS PPC,Kroger,"snacks, cookies, & chips"
6224,BBANQ SAUSAGE,Publix,"meat, seafood, & poultry"
6225,KRO CRSNT ROLL PPC,Kroger,bakery
6226,KRO SPAG,Kroger,grains & pasta
6227,1 3 FOR 00,Publix,not an item
6228,LSAVINGS,Kroger,not an item
6229,ORG ZUCCHINIWRAP,Publix,produce
6230,1 1 2 FOR 800,Publix,not an item
6231,CKLES,Kroger,"condiments, sauces & seasonings"
6232,LGR COFFEE,Kroger,beverages
6233,HAVE GEL,Kroger,beauty & grooming
6234,SMOKED HAM WHL PPC,Kroger,deli
6235,AMBURGER HELPER PPC,Kroger,boxed meals
6236,KRO GREEN TEA,Kroger,beverages
6237,LIIMITONE 50 FUEL PTBONUS PER 7,Kroger,not an item
6238,LIMITONE 50 FUEL PTTBONUS PER 7,Kroger,not an item
6239,LUNCHABLES BASIC,Kroger,"snacks, cookies, & chips"
6240,BBNLS CHICKEN THIGH,Publix,"meat, seafood, & poultry"
6241,GGG SLGREEN BEANS,Kroger,canned goods & soups
6242,SC KOGER SWINS,Kroger,not an item
6243,KROMARINADE,Kroger,"condiments, sauces & seasonings"
6244,SIMPLY LEMONRASP,Kroger,beverages
6245,KROGER KROGER BEANS,Kroger,canned goods & soups
6246,STO BROWN RICE,Kroger,grains & pasta
6247,SFTSOAPAB SOAP,Kroger,beauty & grooming
6248,DE3IT,Kroger,not an item
6249,KRO MAKEUP REMOVER,Kroger,beauty & grooming
6250,VISITWW,Kroger,not an item
6251,MEAT FS,Kroger,"meat, seafood, & poultry"
6252,APPLE SLICES SWEETT,Publix,produce
6253,GALA APL,Kroger,produce
6254,CRESTCMPLTTTPSTT,Kroger,health & wellness
6255,FABULOSO LAVENDER,Publix,household essentials
6256,BBHBLK FORESTTTRKY,Publix,bakery
6257,HALLS CHERRY,Publix,health & wellness
6258,DWAF WAFFLE,Kroger,frozen foods
6259,WT ORG FUJI APPLES,Safeway,produce
6260,BLCK FORESTGUMMY,Publix,candy & gum
6261,MRCH RMN SOUPER PPC,Kroger,canned goods & soups
6262,OSPRY RD GR DRINK,Publix,beverages
6263,DRINKMX,Kroger,beverages
6264,1 2F0R 700,Publix,not an item
6265,SLDR BUN,Publix,bakery
6266,HRZN CRACKERS PPC,Kroger,"snacks, cookies, & chips"
6267,BBANQ SAL STK,Kroger,frozen foods
6268,1 2 FOR 179,Kroger,not an item
6269,WT BANANAS YELLLOW,Kroger,produce
6270,KRO TACO SHELLS C,Kroger,boxed meals
6271,SNCKRS CRISPER PPC,Kroger,candy & gum
6272,88 FITNESS BARS O,Kroger,health & wellness
6273,WT RRED SDLS GRAPES,Safeway,produce
6274,16 2 FOR 400,Publix,not an item
6275,LIPTON NOODLE SOUP,Publix,canned goods & soups
6276,TALOUPE,Kroger,produce
6277,NE COLOMBIAN SS,Publix,beverages
6278,MARKETPLACE STORES BEGINNING AT,Kroger,not an item
6279,WT ONIONSRED JUMBO,Kroger,produce
6280,9025 HWY,Kroger,not an item
6281,CL CONCORD GRAPE,Kroger,beverages
6282,LEEKS ORG,Kroger,produce
6283,JIF T0 G0 DIIPPER,Kroger,"snacks, cookies, & chips"
6284,EZITCCRACKERS,Kroger,"snacks, cookies, & chips"
6285,BANQ SAL STK,Kroger,frozen foods
6286,DDIAL LIQ HAND SOAPPC,Kroger,beauty & grooming
6287,CSHL CHLI MX,Kroger,"condiments, sauces & seasonings"
6288,SALINGS,Publix,not an item
6289,DEEP DISH PIZZAPC,Publix,frozen foods
6290,REDDS APPLE ALE NR,Publix,beer
6291,PED FILET MIGNON,Publix,pets
6292,C00L WHIP SF,Kroger,dairy
6293,LLIMITTONE 50 FUELPTTBONUS PER,Kroger,not an item
6294,GARLIC MINCED 45,Kroger,canned goods & soups
6295,COKE VANILLA PPC,Kroger,beverages
6296,KKNORR RICE SIDES,Kroger,grains & pasta
6297,DM CORN N0 SALT,Kroger,canned goods & soups
6298,STARKISTCCK LTTTUN,Publix,canned goods & soups
6299,0 FOR 600,Kroger,not an item
6300,1 105,Kroger,not an item
6301,CARROTS C,Kroger,produce
6302,RMN NOODLE,Kroger,canned goods & soups
6303,LUC COTTAGE CHEESE,Safeway,dairy
6304,KSTTTUNA CRTNS,Kroger,canned goods & soups
6305,FFST CATFOOD,Kroger,pets
6306,2 QTY BUTTER,Safeway,dairy
6307,R ELBOWS,Kroger,grains & pasta
6308,CUKES SELECT,Publix,produce
6309,RMHTMA RICE,Kroger,grains & pasta
6310,CONDIITIONER,Kroger,beauty & grooming
6311,DANIMAL SMOOTHHIE,Kroger,dairy
6312,BH MONTEREY PEPPER,Publix,dairy
6313,STN TENDERLN,Kroger,"meat, seafood, & poultry"
6314,PFDDBL MILANO CKIE,Publix,"snacks, cookies, & chips"
6315,NTRB VITAMIN,Safeway,health & wellness
6316,LINIT ONE 50 FUEL PT BONUS PER,Kroger,not an item
6317,WTT NECTARINES,Kroger,produce
6318,KELL FROOT LOOPS KT,Kroger,breakfast & cereal
6319,SAVE UP T3,Kroger,not an item
6320,CELENTANO TKY MTBL,Publix,frozen foods
6321,WT ONIONS SWEET C,Kroger,produce
6322,SILK CASHEW CHOC,Kroger,dairy
6323,OGER SAVIGS,Kroger,not an item
6324,BH SLICING MOZZ,Publix,dairy
6325,EMPLOYEE DIISC,Kroger,not an item
6326,BRHD SDW PEP,Kroger,frozen foods
6327,MUS MILK 100 CAL,Publix,dairy
6328,KKROGER WATER,Kroger,beverages
6329,RHTGF CHK FYR,Kroger,"meat, seafood, & poultry"
6330,POWERADE PC 0,Kroger,beverages
6331,PLUMPOUCHH,Kroger,baby & kids
6332,N HERBAL ESSE,Kroger,beauty & grooming
6333,EBTCCASHEBALFOOD,Kroger,not an item
6334,WT GRP GRN SDLS ORG,Kroger,produce
6335,KRO CRNKL CTSTX,Kroger,"snacks, cookies, & chips"
6336,PASTARONI FETTUCI,Publix,grains & pasta
6337,CIB N0 SUG ADD CHO,Publix,dairy
6338,ST GRILLED CHICKEN,Kroger,frozen foods
6339,PR HFTY FRZR BG,Kroger,household essentials
6340,HEBN BN LNGTH RK,Publix,"meat, seafood, & poultry"
6341,MRLB GLD KNG NP,Kroger,cigarettes & tobacco
6342,WT BROCCOLICROWNS,Publix,produce
6343,DANIMAL YOGURTT,Kroger,dairy
6344,KRO BATTERIES AA,Kroger,household essentials
6345,STOR BG,Kroger,household essentials
6346,KELL RCE KRSP,Kroger,breakfast & cereal
6347,LIFEWATER,Kroger,beverages
6348,DNNN YOURT,Kroger,dairy
6349,A HUMMUS,Publix,"snacks, cookies, & chips"
6350,ENTRY D,Kroger,not an item
6351,LAWRYMARINADE,Kroger,"condiments, sauces & seasonings"
6352,KKRO DIPMIX,Kroger,"condiments, sauces & seasonings"
6353,BBTYC SNACKS,Kroger,"snacks, cookies, & chips"
6354,OXY CLNS PADS,Kroger,beauty & grooming
6355,KRO LIQ GELS,Kroger,household essentials
6356,SOFT SCRUB OXICLNR,Publix,household essentials
6357,BAY BRIDGE MERLOT,Kroger,wine
6358,GGM CINN,Kroger,breakfast & cereal
6359,PUCHAE,Kroger,not an item
6360,WT POTATOESRUSSET,Kroger,produce
6361,PPLBRY BISCUITS PPC,Kroger,bakery
6362,PUB FZ BRC CHP 10Z,Publix,frozen foods
6363,PURELY CHOC PRO BHH,Kroger,health & wellness
6364,SNICKER BITES,Kroger,candy & gum
6365,WT BBROCCOLLI CROWNS,Kroger,produce
6366,BBARILLAMARINARA,Publix,"condiments, sauces & seasonings"
6367,SECURE PIN T0 VERIFW YOUR,Kroger,not an item
6368,A ROOTBEER,Publix,beverages
6369,BKRY COFCAKE,Safeway,bakery
6370,PLAITYOGURTT,Kroger,dairy
6371,KKOGER SAINGS,Kroger,not an item
6372,AMPBELLS SQUP,Kroger,canned goods & soups
6373,PPFARM PASTRY,Publix,bakery
6374,SC TTNO PIZZA 100,Kroger,frozen foods
6375,0I EC SEASON CRI,Publix,"condiments, sauces & seasonings"
6376,GATORADE 0,Kroger,beverages
6377,BENTM CAKE,Kroger,bakery
6378,FPARTICIPATING SHELLS,Kroger,not an item
6379,KRO CRULLERS,Kroger,bakery
6380,SPAGHETTT,Kroger,grains & pasta
6381,VITAMINS,Kroger,health & wellness
6382,SMK HAM,Kroger,deli
6383,BBAALANCE,Kroger,not an item
6384,MOUNTAIN DE 200Z,Publix,beverages
6385,HEEZITDCRACKERS,Kroger,"snacks, cookies, & chips"
6386,WT TOMATOESRED OTV,Kroger,produce
6387,Y SYRUP,Kroger,"condiments, sauces & seasonings"
6388,JELLY BELLY,Kroger,candy & gum
6389,DAN OIKOS CRUYCHH,Publix,dairy
6390,WT BANANS,Publix,produce
6391,SMFD HAM,Safeway,"meat, seafood, & poultry"
6392,ITO SCOOPS,Kroger,"snacks, cookies, & chips"
6393,FBRZ SET  REFRESH,Kroger,household essentials
6394,CS SALE CHKN,Kroger,"meat, seafood, & poultry"
6395,GATORADE 32 02,Publix,beverages
6396,WITH 0U,Kroger,not an item
6397,NEUTR SHAMPOO,Kroger,beauty & grooming
6398,DIISCOUNT NOTTAVAIILABLLE IN,Kroger,not an item
6399,APP,Kroger,beverages
6400,095 LB,Publix,"meat, seafood, & poultry"
6401,LEAN GROUDBEEFF,Publix,"meat, seafood, & poultry"
6402,TLHS MORSEL,Kroger,candy & gum
6403,SUNFLOWER SEEDS,Kroger,produce
6404,LAYS ORIIGNAL STAX,Kroger,"snacks, cookies, & chips"
6405,URGER HELPER,Kroger,boxed meals
6406,C0UP00S,Kroger,canned goods & soups
6407,PRSL DRK CHOC BAR,Kroger,candy & gum
6408,SSTSUGAR,Kroger,baking
6409,CKPF MEATBALLS PPC,Kroger,frozen foods
6410,SKITL SFT SGR CNDYPC,Kroger,candy & gum
6411,BBRK CC 100CL BLBRY,Publix,dairy
6412,BLNC,Kroger,not an item
6413,DOVE DARK,Kroger,candy & gum
6414,CLFIA COF CREAMER,Kroger,dairy
6415,TITO CHIPS,Kroger,"snacks, cookies, & chips"
6416,MATTEL HOT WHEELS,Kroger,toys & games
6417,WF BBANANAS,Kroger,produce
6418,KKRO HOMINY,Kroger,canned goods & soups
6419,NRYN BF GRND,Kroger,"meat, seafood, & poultry"
6420,E BAR,Kroger,"snacks, cookies, & chips"
6421,HHMK CARD,Kroger,household essentials
6422,ICBRKRS MINTS,Kroger,candy & gum
6423,COLES BREAD STICKS,Kroger,bakery
6424,LOYEE DISC,Kroger,not an item
6425,CTO FOAMPLATE,Kroger,household essentials
6426,FTY PLATES,Kroger,household essentials
6427,ORN PPC,Kroger,breakfast & cereal
6428,SANDRAS CKN FLOREN,Publix,frozen foods
6429,DDM LS WHOLE CORN,Kroger,canned goods & soups
6430,ESA EVENT,Kroger,not an item
6431,N FAJITAS,Kroger,bakery
6432,OEPVREFRIEDBEAN,Kroger,canned goods & soups
6433,VITA LOX,Publix,beverages
6434,LIIMIIT ONE 50 FUELPTBONUS PER,Kroger,not an item
6435,ULTRA CHEWY TREATSPC,Kroger,pets
6436,PEARLS OLLIVES,Kroger,"condiments, sauces & seasonings"
6437,AHOY,Kroger,"snacks, cookies, & chips"
6438,GRANDTOTALL,Publix,not an item
6439,HTGF HAM,Kroger,"meat, seafood, & poultry"
6440,KEB GRAHAM CRUST,Kroger,bakery
6441,NBSC G00D THIINS,Kroger,"snacks, cookies, & chips"
6442,WT GGRAPES GREEN,Publix,produce
6443,BEMPLOYEEDISC,Kroger,not an item
6444,PUBLIX WIPES LEMON,Kroger,household essentials
6445,JUICE PPC,Kroger,beverages
6446,GGALBANI RICOTTA WHH,Publix,dairy
6447,PICKLES PPC,Kroger,"condiments, sauces & seasonings"
6448,SUMMER FUEI,Kroger,not an item
6449,WTT BANANAS,Safeway,produce
6450,LIMIFONE 50 FUEL PT BONUS PER,Kroger,not an item
6451,YORK PPPRMINTMINIPC,Kroger,candy & gum
6452,WITHLN 7,Kroger,not an item
6453,PBX SWEETCCOLESLAW,Kroger,deli
6454,99 SOUP,Kroger,canned goods & soups
6455,PRSL RST BF GNG,Publix,deli
6456,KLBR CRACKERS PPC,Kroger,"snacks, cookies, & chips"
6457,HBABY PEABROCOLI,Publix,baby & kids
6458,R0 SHRED CHEESE,Kroger,dairy
6459,SAUE UPTO,Kroger,"condiments, sauces & seasonings"
6460,FORCOMPLETE,Kroger,not an item
6461,SMOKED TURKEYBRSTPC,Kroger,deli
6462,EPPERONI,Kroger,deli
6463,BBHROTIS SEASONED,Publix,deli
6464,FFIN,Kroger,bakery
6465,GARLIC MINCED 8 0Z,Kroger,canned goods & soups
6466,DDM PETITDDC TOMGC,Publix,canned goods & soups
6467,EFFECTIVE AUUT 23,Kroger,not an item
6468,MICH FRZNMEAL,Kroger,frozen foods
6469,KKRO YOGURTT PPC,Publix,dairy
6470,1 E 10700 YOPLAIT YOGURT,Kroger,dairy
6471,LD ZEBRA CAKES,Kroger,"snacks, cookies, & chips"
6472,LIP BALM,Kroger,health & wellness
6473,BBUSHHBLACK BEANS,Kroger,canned goods & soups
6474,P STEAK,Kroger,"meat, seafood, & poultry"
6475,BERRY CRISP,Kroger,"snacks, cookies, & chips"
6476,FRSKIES TRKYGBLTS,Kroger,"snacks, cookies, & chips"
6477,POPN CKN,Kroger,frozen foods
6478,BBRBR CHICKEN,Kroger,frozen foods
6479,KRO EYE SOLUTION,Kroger,health & wellness
6480,PSSTMSHROOMH,Kroger,canned goods & soups
6481,EMERALD WALN ALMND,Publix,produce
6482,PPUBLIX SNACK BAGS,Publix,household essentials
6483,BHCAJUN TURKEY,Publix,deli
6484,KRO SSG PATTIIES,Kroger,"meat, seafood, & poultry"
6485,C00 RANCHH,Kroger,"condiments, sauces & seasonings"
6486,BBIG K CHERRY COLA,Kroger,beverages
6487,BARILLAMARINARA,Publix,grains & pasta
6488,NNUTEL,Kroger,"condiments, sauces & seasonings"
6489,SQUASHHZUCCHH,Publix,produce
6490,DISPOSER CARE,Publix,household essentials
6491,DELMGRNBN,Kroger,canned goods & soups
6492,GRAPES MIXED,Kroger,produce
6493,CBAD BEEFRAVOLI,Publix,canned goods & soups
6494,GER SANDWCH BAGPC,Kroger,household essentials
6495,RMR LUCHMK,Kroger,"snacks, cookies, & chips"
6496,SAUVE MN 2N1 BNS,Kroger,beauty & grooming
6497,0M P3 HAMCHSNUTS,Publix,frozen foods
6498,NPTH WAFFLE,Kroger,frozen foods
6499,ROGER SAIINGS,Kroger,not an item
6500,COIND EXPRESSO,Kroger,beverages
6501,PUB 8 78 PLATE,Publix,household essentials
6502,ANGL FD,Kroger,bakery
6503,VLASIC BREAD  BUT,Publix,"condiments, sauces & seasonings"
6504,COMPOSITION B00K,Publix,household essentials
6505,PPRSL CHEESE PPC,Kroger,dairy
6506,BLTHJUICES,Kroger,beverages
6507,Y STOR BG,Kroger,household essentials
6508,NNTVL CRUNCHY BARS,Kroger,"snacks, cookies, & chips"
6509,ATLNTC SALMN PPC,Kroger,"meat, seafood, & poultry"
6510,BBFORST FRT SNACKS,Kroger,"snacks, cookies, & chips"
6511,N SVNS,Kroger,not an item
6512,SPECTRUM NAT OIL,Kroger,baking
6513,RASPBERRY VIN MARI,Publix,"condiments, sauces & seasonings"
6514,WT PPEAR ANJOU,Kroger,produce
6515,A LA OR SAUCE,Kroger,"condiments, sauces & seasonings"
6516,R GEL,Kroger,beauty & grooming
6517,PNAPL CHNKJCE,Kroger,beverages
6518,ONIONS VIDAL PPC,Kroger,produce
6519,ALXF VEGETABLES,Kroger,frozen foods
6520,FIGS BLACK MISSION,Publix,bakery
6521,FFBRZ AIR EFFECTS,Kroger,household essentials
6522,UPC 28400 57605,Kroger,dairy
6523,BOCA CKN PTY,Kroger,frozen foods
6524,TR0P50MN0 PULP,Publix,beverages
6525,MOTTCORIG FRTSNK,Publix,"snacks, cookies, & chips"
6526,SPORTVEGGIE CHIP,Publix,"snacks, cookies, & chips"
6527,WT YELLOW PEACHES LRG,Kroger,produce
6528,K TENDRLN,Kroger,"meat, seafood, & poultry"
6529,YAKISOBACHICKEN,Publix,frozen foods
6530,LIMIT ONE 50 FUEL PTBBONUS PER 7,Kroger,not an item
6531,KKROGER SAVIN3S,Kroger,not an item
6532,SC KROGER 99 SALE,Kroger,not an item
6533,TTE SHV GEL,Kroger,beauty & grooming
6534,MEGA EVENT S,Kroger,not an item
6535,BELMN BKFSTBURRITO,Kroger,frozen foods
6536,PPRT YGRT BAR,Kroger,"snacks, cookies, & chips"
6537,RKSTTTUNA CRTNS,Kroger,canned goods & soups
6538,PRSL SALSA TRDTNL,Kroger,"snacks, cookies, & chips"
6539,TAYLOR PORK ROLL,Kroger,"meat, seafood, & poultry"
6540,STRIDE LMNBRRY GUMPC,Kroger,candy & gum
6541,KRO TRKY PC,Kroger,deli
6542,BHOVENGOLDTURKEY,Publix,deli
6543,KRO PIIE CRST,Kroger,frozen foods
6544,BEANS,Publix,canned goods & soups
6545,TWO VALLIDFORMS,Kroger,not an item
6546,OUND UP NP,Kroger,household essentials
6547,CHOC ALMONDS PBX,Publix,candy & gum
6548,KRO SANDWCH SLIM,Publix,bakery
6549,CONTACT,Kroger,not an item
6550,FM SZ BBQ,Kroger,"condiments, sauces & seasonings"
6551,CONTACT YOUR FINANCILAL,Kroger,not an item
6552,SOCKEYE FILLET,Kroger,"meat, seafood, & poultry"
6553,SHOWBOAT BEANS,Kroger,canned goods & soups
6554,RED CHEESE PPC,Kroger,dairy
6555,DIISCOUNT 900D,Kroger,not an item
6556,CLIFKID ZBAR PPC,Kroger,"snacks, cookies, & chips"
6557,THA WHTMUFFIN,Kroger,bakery
6558,KR TRKY BRST,Publix,deli
6559,KKROGER PLUS CUSLOMER,Kroger,"condiments, sauces & seasonings"
6560,HOST APPLE PIE,Kroger,"snacks, cookies, & chips"
6561,PUPCHASE,Kroger,not an item
6562,ONLLINEEWIC,Kroger,not an item
6563,18 2F0R 500,Publix,not an item
6564,ROSEMARY ORG,Kroger,produce
6565,RUFFLS CLSC,Kroger,"snacks, cookies, & chips"
6566,DDOLE FRTOCRACY,Kroger,canned goods & soups
6567,CHEESE FPC,Kroger,dairy
6568,GWBNLS CHK FILLET,Publix,"meat, seafood, & poultry"
6569,GALATSHELL,Publix,grains & pasta
6570,TTOTA,Kroger,"snacks, cookies, & chips"
6571,NSQK CHOC MX,Kroger,beverages
